Angelo Michelangelo,116 Hamilton Street,Rochester,14620,585-555-1212,angelo@coldmail.com,1,43.145264,-77.607041
Kevin da Vinci,47 Alexander Street,Rochester,14620,585-555-1212,davinci@coldmail.com,0,43.1462024,-77.6062047
Gabriel Raphael,22 Cayuga Street,Rochester,14620,585-555-1212,rafe@coldmail.com,0,43.1420506,-77.6002594
Sandra Botticelli,20 Bloomfield Place,Rochester,14620,585-555-1212,sandybot@coldmail.com,1,43.14023,-77.59436
Titus Titian,169 Sanford St,Rochester,14620,585-555-1212,titian@yippee.com,1,43.1405216,-77.6087027
Donald Donatello,82 Cypress Street,Rochester,14620,585-555-1212,donny@yippee.com,0,43.1396761,-77.611743
Maura Masaccio,35 Parkwood Avenue,Rochester,14620,585-555-1212,mauramas@coldmail.com,1,43.131657,-77.586848
Phil Brunelleschi,97 Danbury Circle North,Rochester,14618,585-555-1212,bruno@coldmail.com,0,43.119265,-77.572292
Gina Giotto,248 Barclay Square Drive,Rochester,14618,585-555-1212,ginagio@yippee.com,1,43.115878,-77.586816
George Vasari,96 Schilling Lane,Rochester,14618,585-555-1212,geo@vasari.com,0,43.129732,-77.6129
Lauren Ghiberti,67 Furman Crescent,Rochester,14620,585-555-1212,bertie@ghiberti.com,1,43.116511,-77.599454
jim Giorgione,86 Southview Terrace,Rochester,14620,585-555-1212,jim@giorgione.com,0,43.121153,-77.6100906
Frances Angelico,551 Southwood Drive,Rochester,14620,585-555-1212,angel@coldmail.com,0,43.228579,-77.45237
Vanessa Bellini,585 Bending Bough Drive,Webster,14580,585-555-1212,vanbel@yippee.com,1,43.240622,-77.4438909
Paul Uccello,671 Shadow Wood Lane,Webster,14580,585-555-1212,paulucc@yippee.com,0,43.227779,-77.46593
Phyllis Lippo,1115 Shoemaker Road,Webster,14580,585-555-1212,lippo89@yippee.com,0,43.237018,-77.456755
Don Bramatte,1197 Appian Drive,Webster,14580,585-555-1212,don.bramatte@coldmail.com,1,43.229678,-77.4553509
Paula Veronesa,1127 Wall Road,Webster,14580,585-555-1212,pveronesa@yippee.com,0,43.1230509,-77.615793
Caroline Caravaggio,939 Joylene Drive,Webster,14580,585-555-1212,carrie.cara@yippee.com,1,43.2349307,-77.4445252
Andrea del Sarto,951 Copper Kettle Road,Webster,14580,585-555-1212,delsarto@coldmail.com,1,43.238601,-77.447644
Sonny Anguissola,698 Shanlee Drive,Webster,14580,585-555-1212,anguiss@coldmail.com,0,43.2351035,-77.4552958
Tony del Pollaiuolo,612 Shady Glen Circle,Webster,14580,585-555-1212,tonydelp@yippee.com,1,43.2234017,-77.4628566
Reggie Correggio,459 Heathland Circle,Webster,14580,585-555-1212,reggio@popmail.com,0,43.2242249,-77.4700469
Ben Gozzoli,520 Robindale Drive,Webster,14580,585-555-1212,gozzo@coldmail.com,1,43.228371,-77.453612
Annette Pisanello,902 Copper Kettle Road,Webster,14580,585-555-1212,annette@pisanello,0,43.218868,-77.5052369
Vanna Bazzi,692 Shanlee Drive,Webster,14580,585-555-1212,vanbazzi@yippee.com,1,43.2210579,-77.5084848
Marian Albertinelli,599 Shady Glen Circle,Webster,14580,585-555-1212,marian@albertinelli.com,1,43.220752,-77.508287
Victor Cellini,401 Heathland Circle,Webster,14580,585-555-1212,cellini@yippee.com,1,43.2187309,-77.5110036
Cosmo Tura,518 Robindale Drive,Webster,14580,585-555-1212,cosmo.tura@yippee.com,1,43.2354988,-77.4553761
Carla Crivelli,125 Hamilton Street,Rochester,14620,585-555-1212,crivelli@yippee.com,1,43.1447533,-77.6066761
Michael Michelozzo,51 Alexander Street,Rochester,14620,585-555-1212,michelozzo@yippee.com,1,43.1403393,-77.5942826
Bart Bandinelli,18 Cayuga Street,Rochester,14620,585-555-1212,bandinelli@yippee.com,0,43.142326,-77.6003659
Lorenzo Lotto,24 Bloomfield Place,Rochester,14620,585-555-1212,loren@lotto.com,0,43.146226,-77.606018
Sebastian Piombo,179 Sanford St,Rochester,14620,585-555-1212,bash@piombo.com,1,43.1395606,-77.6114752
Bernadette Butinone,89 Cypress Street,Rochester,14620,585-555-1212,bernie123@yippee.com,0,43.14054,-77.60845
Jake Quercia,39 Parkwood Avenue,Rochester,14620,585-555-1212,quercia@coldmail.com,1,43.1163535,-77.5875232
Lea Clovio,93 Danbury Circle North,Rochester,14618,585-555-1212,lea.clovio@coldmail.com,0,43.116872,-77.599935
Perry Baldassare,222 Barclay Square Drive,Rochester,14618,585-555-1212,baldassare.perry@yippee.com,0,43.1195306,-77.5721935
Florence Lucco,87 Schilling Lane,Rochester,14618,585-555-1212,flo.lucco@yippee.com,1,43.1314618,-77.5865299
